subject,mean_reward,accuracy,mean conf,reward,cor,cj,fwd_emp,model,x_idx
45628,0.55814644541975,0.7975,4.681955436892061,0.58947393780625,0.95,4.67647586981,-0.15249999999999997,lv_induction,1
45640,0.558571106735,0.78,4.4957497204944925,0.589455762005,0.94,4.4945904376575,-0.15999999999999992,lv_induction,2
45664,0.55196783104875,0.735,3.1482772706583546,0.55641152416575,0.745,3.148277273925,-0.010000000000000009,lv_induction,3
45682,0.53813225980475,0.6975,3.706248064896862,0.5635132437829999,0.825,3.741546743135,-0.12749999999999995,lv_induction,4
45745,0.551042369775,0.7475,4.731427497278941,0.5884384353905,0.9325,4.6845847553025,-0.18499999999999994,lv_induction,5
45760,0.556169271575,0.7825,4.3791434925743316,0.57658815066475,0.87,4.276919262957501,-0.08750000000000002,lv_induction,6
45763,0.5547012453165,0.775,4.479844247658059,0.57157007827025,0.8525,4.5265095624375,-0.07750000000000001,lv_induction,7
45805,0.54483488299775,0.7225,4.876866353295353,0.5872050529105001,0.9275,4.86531987645,-0.20499999999999996,lv_induction,8
45829,0.5508036877805,0.7425,3.9662277968292794,0.579369351712,0.895,3.9325590268475,-0.15249999999999997,lv_induction,9
45964,0.54801574615175,0.7625,3.8088892733621447,0.55866366579225,0.8,3.8798258904800003,-0.03750000000000009,lv_induction,10
46024,0.55493410199125,0.77,4.564806064258073,0.58171498430725,0.8975,4.5504096520849995,-0.12749999999999995,lv_induction,11
46057,0.567364578683,0.835,3.6803455768203213,0.5765962602925,0.875,3.543444444435,-0.040000000000000036,lv_induction,12
46072,0.5628427230665001,0.8025,3.4832319085352372,0.5765386360665,0.865,3.4937093993075,-0.0625,lv_induction,13
46102,0.5430767024005,0.7025,3.8331164357206107,0.53330722679825,0.6625,3.8199832358825,0.040000000000000036,lv_induction,14
46114,0.561269432582,0.815,4.134414294284169,0.56942241049675,0.845,4.15006745773,-0.030000000000000027,lv_induction,15
46159,0.55955986578225,0.7925,4.0026159918264135,0.5829798017110001,0.905,4.0259933031949995,-0.11250000000000004,lv_induction,16
46180,0.5381245839435,0.68,4.0464127678766,0.54655669493875,0.7225,4.0938073097775,-0.04249999999999998,lv_induction,17
46198,0.54687576216375,0.7175,4.189514274753154,0.57892870368075,0.88,4.214856586695,-0.16249999999999998,lv_induction,18
46255,0.56667332490675,0.8325,3.2184720912560323,0.5775083215395,0.8925,3.2055444179199997,-0.05999999999999994,lv_induction,19
46330,0.5624525756525,0.8175,4.213490177370017,0.585094784298,0.9225,4.246795807314999,-0.10499999999999998,lv_induction,20
46357,0.5582274966875,0.79,4.586122396754539,0.545703437949,0.7525,4.5861223975325,0.03750000000000009,lv_induction,21
