,sub,noise,Unnamed: 0,run,resp,reward,cor,cj,Q1,Q2,agent_nr
341,46702,0.4444444444444444,19529999.5,14.5,0.5033666666666666,0.5579125426350462,0.7697166666666667,4.649591526750328,0.4656959895617888,0.4708451307928374,9.5
342,46702,0.8888888888888888,32489999.5,14.5,0.5082083333333334,0.5543021193845034,0.7533916666666667,4.467202340383918,0.46834157860537456,0.4760534859625394,9.5
343,46702,1.3333333333333333,45449999.5,14.5,0.5518875,0.5411504621660246,0.6875958333333333,4.306745172507638,0.43152203153890506,0.4630270603193489,9.5
344,46702,1.7777777777777777,58409999.5,14.5,0.5515166666666667,0.5364136691065992,0.6655,4.140070989818694,0.4425622648903837,0.4737742548665306,9.5
345,46702,2.2222222222222223,71369999.5,14.5,0.5496458333333333,0.5306092184577424,0.6369625,4.016691409445614,0.44812050027543315,0.4769210647887056,9.5
346,46702,2.6666666666666665,84329999.5,14.5,0.5678083333333334,0.5290359214580191,0.6285333333333334,3.8828245753400634,0.42729342414475135,0.4671650165386866,9.5
347,46702,3.1111111111111107,97289999.5,14.5,0.5841166666666666,0.5218560045617784,0.5932833333333334,3.79828101412282,0.4263286546388371,0.4730102486485809,9.5
348,46702,3.555555555555556,110249999.5,14.5,0.5533041666666667,0.5269114737195142,0.6192625,3.6959456000998703,0.44916726172148946,0.4818007369624961,9.5
349,46702,4.0,123209999.5,14.5,0.6197708333333334,0.5194242810859583,0.5804208333333334,3.6726045023072773,0.40062576782275383,0.4663536704157348,9.5
350,46729,0.0,6581999.5,14.5,0.5071625,0.5605305339582941,0.7946041666666667,4.490612957189856,0.4502438227116609,0.457637516149337,9.5
351,46729,0.4444444444444444,19541999.5,14.5,0.5122333333333333,0.5597160721462141,0.7907,4.451911066430212,0.4446463348735603,0.4555808433021238,9.5
352,46729,0.8888888888888888,32501999.5,14.5,0.5076083333333333,0.5587903620455512,0.7854666666666666,4.309293294048509,0.44666639058752966,0.4556386488744105,9.5
353,46729,1.3333333333333333,45461999.5,14.5,0.5174083333333334,0.5559012326874387,0.7711666666666667,4.169494526247731,0.43935355525145753,0.4550220566721887,9.5
