,sub,trials,residuals
0,0,10,-0.036707769926888956
1,0,15,-0.007017765486884486
2,0,20,-0.03784930022321831
3,0,25,-0.0005750272937423695
4,0,30,0.004200339555598065
5,0,35,0.009276617422145694
6,0,40,-0.015972143380151738
7,0,45,-0.033506521561259106
8,0,50,-0.04809045136071699
9,0,55,-0.04556030722744375
10,0,60,-0.036173754093848265
11,0,65,-0.0631379308297133
12,0,70,-0.049500099951096166
13,0,75,-0.05918686438050891
14,0,80,-0.06295017098768763
15,0,85,-0.051912800255091374
16,0,90,-0.042231638302229646
17,0,95,-0.03572579871390913
18,0,100,-0.04464397616360827
19,0,105,-0.008265101387513019
20,0,110,-0.018579426508295693
21,0,115,0.00934512225558648
22,0,120,-0.008368800516536878
23,0,125,-0.006879541246740617
24,0,130,0.02089027363942031
25,0,135,0.006613312202725874
26,0,140,0.007486153978488508
27,0,145,0.001512288969903297
28,0,150,-0.0011630626592959992
29,0,155,-0.018324565761511535
30,0,160,0.0026518367826571243
31,0,165,-0.12258711295572466
32,0,170,-0.17723561645187003
33,0,175,-0.20027185037095385
34,0,180,-0.2259101595704709
35,0,185,-0.1889689952216348
36,0,190,-0.18368361073077588
37,0,195,-0.18943485302141772
38,0,200,-0.14913635681357107
39,0,205,-0.01276775407178532
40,0,210,-0.005406806456503044
41,0,215,0.006238513436078508
42,0,220,0.015303945165461075
43,0,225,-0.009041439948893504
44,0,230,-0.03139981186725427
45,0,235,-0.05055689780367312
46,0,240,-0.05156798135832652
47,0,245,-0.0402579642753057
48,0,250,-0.0444869995688526
49,0,255,-0.0316454538916241
50,0,260,-0.06076961626829047
51,0,265,-0.07075961023885602
52,0,270,-0.09700236831457199
53,0,275,-0.08632582002657174
54,0,280,0.010627625099943971
55,0,285,0.00992630378330328
56,0,290,0.015230939771727403
57,0,295,0.012935763957762081
58,0,300,0.016041882920977857
59,0,305,-0.012226213917829187
60,0,310,-0.013388298354581218
61,0,315,-0.02557305426814238
62,0,320,-0.045589942061363575
63,0,325,0.01706078811655365
64,0,330,0.0027097833899203394
65,0,335,0.006713619146773153
66,0,340,0.006338215621204846
67,0,345,0.0026477068407415594
68,0,350,-0.003204720492517188
69,0,355,0.0032296209219226935
70,0,360,-0.0011306902803054353
71,0,365,-0.011934381829455498
72,0,370,-0.018244401455489
73,0,375,-0.007374534502435637
74,0,380,-0.02049472017991627
75,0,385,-0.006967734696534333
76,0,390,-0.00304653005466049
77,0,395,0.0
78,1,10,0.26239013360501007
79,1,15,0.26150582347069984
80,1,20,0.29033019208454214
81,1,25,0.22741094733234535
82,1,30,0.24151685458517924
83,1,35,0.26629759052717306
84,1,40,0.2825608458151958
85,1,45,0.3146091684804012
86,1,50,0.313543487333813
87,1,55,0.3465118138752291
88,1,60,0.32447338674980375
89,1,65,0.31707269445639585
90,1,70,0.3319187300328922
91,1,75,0.3726744593061093
92,1,80,0.35470530211350393
93,1,85,0.37373227729520586
94,1,90,0.3487426290167708
95,1,95,0.35457599272051643
96,1,100,0.34501211643360463
97,1,105,0.33481567610132434
98,1,110,0.30129122509395245
99,1,115,0.31568800288177057
100,1,120,0.3261025275925217
101,1,125,0.30766272771363223
102,1,130,0.3148725948591511
103,1,135,0.29712629788855427
104,1,140,0.28903711741625926
105,1,145,0.29872618224823133
106,1,150,0.2981432383518139
107,1,155,-0.007485031178994461
108,1,160,-0.0065848448674233895
109,1,165,0.009560806614952178
