,sub,noise,Unnamed: 0,run,resp,reward,cor,cj,Q1,Q2,agent_nr
0,45628,0.0,20539999.5,49.5,0.52592625,0.5469636194525018,0.73613875,4.775401010532923,0.45959686659102983,0.4830872117226363,9.5
1,45628,0.4444444444444444,63739999.5,49.5,0.52440125,0.538034477576449,0.69039375,4.009423154602602,0.4642742671069649,0.48672434693773675,9.5
2,45628,0.8888888888888888,106939999.5,49.5,0.60702125,0.5324313387079667,0.65995375,3.4784866702404713,0.39821637883578453,0.46752891570633337,9.5
3,45628,1.3333333333333333,150139999.5,49.5,0.55712875,0.5180411469558589,0.59157625,3.319563344844821,0.4533174146085755,0.4883539805500997,9.5
4,45628,1.7777777777777777,193339999.5,49.5,0.53259125,0.5121721038467504,0.56052625,3.1355883789077454,0.465410015435021,0.4857939216535333,9.5
5,45628,2.2222222222222223,236539999.5,49.5,0.5451225,0.5267524497757524,0.63398,3.181362214042929,0.45053623273213217,0.47968224953730015,9.5
6,45628,2.6666666666666665,279739999.5,49.5,0.5263825,0.5168861378649484,0.58745,3.0839650764316593,0.4739111762796029,0.49076951665474583,9.5
7,45628,3.1111111111111107,322939999.5,49.5,0.51663,0.5139536974302961,0.5725375,3.0760734550898587,0.4821740130551807,0.49208545444903423,9.5
8,45628,3.555555555555556,366139999.5,49.5,0.55463375,0.5215363799796807,0.60854125,3.1205150803495205,0.44467810425080534,0.481432707690148,9.5
9,45628,4.0,409339999.5,49.5,0.53550375,0.5262624416323096,0.63284375,3.028668128515797,0.4565706606648691,0.4806574570408138,9.5
10,45640,0.0,20579999.5,49.5,0.50695625,0.5222514196265405,0.61009125,4.707825639320522,0.48300401170803126,0.4954259693131144,9.5
11,45640,0.4444444444444444,63779999.5,49.5,0.50432625,0.507680355473386,0.53663625,3.9417684735081853,0.4914349096370359,0.5024717612517954,9.5
12,45640,0.8888888888888888,106979999.5,49.5,0.5349875,0.5199348621139328,0.59744,3.5235433973370767,0.4625830024861894,0.4853863884491757,9.5
13,45640,1.3333333333333333,150179999.5,49.5,0.5267025,0.5143540622199282,0.5687425,3.2248669377426706,0.4699058260112616,0.4893687007300707,9.5
14,45640,1.7777777777777777,193379999.5,49.5,0.5999225,0.521545897938142,0.60257,3.1895033904542083,0.423931632907493,0.4782687718422658,9.5
15,45640,2.2222222222222223,236579999.5,49.5,0.5634975,0.5175749066951542,0.58443,3.0514736229823978,0.44922987030383205,0.4843745400493786,9.5
16,45640,2.6666666666666665,279779999.5,49.5,0.520145,0.5238675727928549,0.6175375,3.052829975380537,0.4770255404271659,0.48963562184454584,9.5
17,45640,3.1111111111111107,322979999.5,49.5,0.52666125,0.5088218659036287,0.54150625,3.0477869013063765,0.47948544295010825,0.4936009842529632,9.5
18,45640,3.555555555555556,366179999.5,49.5,0.5461825,0.5164088810525237,0.57855,3.0412340104879223,0.46297003214880467,0.4882840153033598,9.5
19,45640,4.0,409379999.5,49.5,0.544225,0.5088437593063705,0.5410825,3.0190134185340622,0.4707212997009885,0.49132340084699555,9.5
20,45664,0.0,20619999.5,49.5,0.5776525,0.5501076972673681,0.7336325,4.391446439359771,0.4210018549664364,0.46944332108855147,9.5
21,45664,0.4444444444444444,63819999.5,49.5,0.7511325,0.5204518795329242,0.5874325,3.851202435643112,0.32854866853112974,0.46951187504559644,9.5
22,45664,0.8888888888888888,107019999.5,49.5,0.69709125,0.522621549633181,0.59869125,3.347985439152008,0.36795037260577984,0.47711882959840196,9.5
23,45664,1.3333333333333333,150219999.5,49.5,0.62848625,0.5249224781457656,0.61048125,3.155378809961889,0.4128993463271548,0.4793886719116152,9.5
