,subject,alpha_pos,alpha_neg,alpha_unchosen,beta,lbound,bound_range,LL,Confidence Distance,hbound
0,45628.0,0.7320612464481966,0.01369346982091651,0.014114016999300396,66.14935244146399,4.212789401580363,1.0,405.6146238849134,0.6711313092230449,5.0
1,45640.0,0.08390454476179522,0.0,0.9118933311240787,0.007622030657749775,3.0467832597772873,0.8394768163114256,6967.7673868599395,0.25130481670987154,4.686463430425631
2,45664.0,0.5338088022009935,0.41610550461943696,0.577082835403916,100.0,2.91371482777377,0.4158405924757503,120591.487615222,1.402370011438625,3.781276889865698
3,45682.0,0.45093002289575895,1.0,0.3756781151350594,4.119283480281857,1.4498557208508909,0.8766773547010487,185.34559937743438,0.5111961915249399,4.562186816302393
4,45745.0,0.7911850002175588,1.0,0.4896397262157359,100.0,3.0994581980478046,0.8971637915164072,1912.2389721416853,0.29663836866231913,4.804555487022661
5,45760.0,0.5546435542197938,0.7181298446335441,0.46751393163963056,10.649244963421445,1.0,0.9304078074368028,128.2713686701991,0.2217490572275141,4.721631229747212
6,45763.0,0.5957729675250567,0.5869395013707611,0.5570800707949235,47.965321080947305,1.5889993356989192,0.9266711449525047,116.47604840616306,0.6208209793407853,4.749875226720556
7,45805.0,0.008102015103953513,0.0,0.9484390632722083,5.1425226349389845,3.833234304872999,0.9482774100260742,9871.483974531331,0.17707700103587054,4.939651856355304
8,45829.0,0.5857670810686103,0.7286240285054287,0.5365421230520288,5.641330198978042,1.1193000518270542,0.8693784050406708,134.23720467934265,0.5055911973388236,4.4930967832110635
9,45964.0,0.38418741608868506,0.6797499079027063,0.29691464831600156,8.904940157015993,1.5195665771817697,0.8110323519132788,160.9863838153211,0.6233354707858598,4.342310681767622
10,46024.0,0.6279118167137004,0.6998907326240209,0.568471040049244,3.468589417679793,2.8985166057347556,1.0,111.48366273074403,0.2599451622785591,5.0
11,46057.0,0.6770493249462152,0.7353036232059492,0.5347072114130138,6.434375190284743,1.0,0.7922701276861877,95.70560109640806,1.1200724529448596,4.169080510744751
12,46072.0,0.26405290590697406,0.2157237098333274,0.3297852955478825,9.185850525396296,1.0,0.8266022468101396,153.0461590031897,0.7130141139370336,4.306408987240559
13,46102.0,0.3971470178226462,0.8643451402815665,0.38282546419300234,4.994582672584053,2.3238235712575093,0.9304568076814458,311.7828601771435,0.9684405395811306,4.813890147937579
14,46114.0,0.3570235431919091,0.4314851641914201,0.3323886603196217,2.5073748174494943,2.4660900397011805,1.0,175.62783995574026,0.29210627192309746,5.0
15,46159.0,0.3180008656110649,0.8928543945131369,0.05405070564461928,7.076057135281915,1.0,0.985940071835962,115.17036602825029,0.3873050345965737,4.9437602873438475
16,46180.0,0.5109126639948145,0.7806850315351025,0.47956730010598003,3.81050678779976,2.208728063999719,1.0,227.03656008427774,1.1059218225299794,5.0
17,46198.0,0.3963873891177932,0.6549927662286302,0.14210271053964138,100.0,1.7705635732341447,0.8239661462622633,339.2759095343371,1.1309492467689162,4.43150986039538
18,46255.0,0.16825830664314492,0.599072082552419,0.5880768485524785,8.140464072981738e-08,2.3558616955554545,0.467379714375837,12449.062442488952,0.2058366730642247,3.591678301056956
19,46330.0,0.3071577096973488,0.0013361251062564733,1.0,0.0003709825351468696,3.3716280075305884,0.6786219387380614,6059.850377087415,0.4963439801081087,4.4766769660469405
20,46357.0,0.5640787058762529,0.0,0.0006291401031192616,44.87923010924566,4.321990761472984,0.7623778197867712,355.4585081104773,0.5471139901895232,4.838889966536499
