,subject,alpha_pos,alpha_neg,alpha_unchosen,beta,lbound,bound_range,LL,Confidence Distance,hbound
0,45628.0,0.7485873838086912,0.7149257680424133,1.0,9.938585370348605,4.105369823127795,0.6956538047213902,62.141546500986436,0.761909889271486,4.727722709487515
1,45640.0,0.7400586788818349,0.7548070716795409,0.7217249963928914,16.17426403872079,3.340089693298808,0.7382615245216017,46.67947480231755,0.3848066941033473,4.56553760689315
2,45664.0,0.9539532450511499,1.0,0.8519966795378205,6.685270231264031,3.1482772652425752,0.0,139.25254864174445,1.5497301335381624,3.1482772652425752
3,45682.0,1.0,0.9858625717278604,0.9503331788789301,10.595812669000958,1.8554428040548179,0.7406324230235238,126.69921447479032,0.9222465305325193,4.184403819423756
4,45745.0,0.936287539569334,1.0,0.8244733948805512,7.357549978175229,2.929061513612354,0.9443069045343763,77.79479435994409,0.3320238257548695,4.884663025174179
5,45760.0,0.8166083810550873,0.8430611106086311,0.898293728026947,21.709525840916537,1.0,0.8849318804844833,50.48650022057714,0.8044238239347274,4.539727521937934
6,45763.0,1.0,0.9593613239783494,0.5998611449606636,15.322770498272735,1.4468633765219152,0.9243390452244072,48.3432949559939,0.8636387404255201,4.731166290619522
7,45805.0,0.9530180495253258,1.0,0.8794872385165969,7.699873109246318,3.66139773579376,1.0,81.29504755538687,0.18491965184785633,5.0
8,45829.0,0.8058264066195607,0.799629325582458,0.6834530928834203,11.835854590129568,1.181286151733279,0.8464331128804596,103.43777406839851,0.7288622780701854,4.413572001521398
9,45964.0,0.7916710457120271,0.8119075450783091,0.7092677622466558,9.13412079174222,1.4974493457786375,0.8113548504468799,110.30356821603641,0.8454803322384561,4.339260808017033
10,46024.0,1.0,0.9757236376604292,0.8009772399419867,18.78532340368286,3.141419293196161,0.8113161362492372,44.80596564687352,0.3115125255170025,4.649315811147628
11,46057.0,0.5591569343940789,0.5012028906498285,0.3313689850610636,21.100292106070352,1.0,0.7267222776286799,73.25583698612968,1.2667290311331425,3.9068891105147197
12,46072.0,0.8171695757252481,0.670476343787134,0.45231610370182757,16.09628419347073,1.3476280939736094,0.703638131107937,112.2377478555913,1.0800248541262547,3.9175762360411523
13,46102.0,1.0,0.9885108033890033,0.902251649682353,4.204798381895189,1.9939679867120719,1.0,231.34441885770775,1.1958538184862664,5.0
14,46114.0,0.9211943625075607,0.9262959648455303,0.717165186110019,10.561366788847494,3.0366169700649714,0.6484442496235999,88.42008147045783,0.3414050269292482,4.309761405634901
15,46159.0,0.8003680058886097,0.819726166985456,1.0,15.077895288882596,1.0,0.800739107086957,40.98366092317245,0.5640297593584117,4.202956428347828
16,46180.0,0.7662097025471427,0.7575119118998205,0.837125105065874,4.303458474970211,2.159146813593952,1.0,203.53039141808335,1.2058585139596565,5.0
