,subject,lb,ub,brier,scaled_QSR
0,45628,0.49855506407433214,0.9897267692166656,0.03581630600397137,0.9641836939960287
1,45640,0.9382386371034315,0.9410872024939425,0.0564136082116464,0.9435863917883536
2,45664,0.7437233770580421,0.7462861432874617,0.19002523414934436,0.8099747658506556
3,45682,0.4836017810036372,0.981713278697186,0.12526844859220607,0.8747315514077939
4,45745,0.3905446518702833,0.9788940202476709,0.05252970178861837,0.9474702982113816
5,45760,0.6017872888214377,0.9291842810626669,0.10500596149365887,0.8949940385063411
6,45763,0.26213010907351364,0.9317660845099343,0.09424839753797958,0.9057516024620205
7,45805,0.038420473811155986,0.9584766654584084,0.054003884581871525,0.9459961154181284
8,45829,0.6002666658578687,1.0,0.08106759376438873,0.9189324062356112
9,45964,0.5377286429927233,0.902030278807216,0.14938762712688022,0.8506123728731197
10,46024,0.5831879744592539,0.9373021065928075,0.08902493515136914,0.9109750648486309
11,46057,0.6758012676166496,0.9890754678563776,0.09770477660809018,0.9022952233919098
12,46072,0.6465899502190451,0.9969279500799643,0.10578708421641164,0.8942129157835883
13,46102,0.2744978266208487,0.8248591508115619,0.19367455439726733,0.8063254456027327
14,46114,0.5045851879937696,0.936842595823224,0.12611153156549806,0.873888468434502
15,46159,0.6600717913492656,0.9838365831542191,0.08065875255511688,0.9193412474448831
16,46180,0.26611136661602325,0.8561755579630594,0.16219847282642463,0.8378015271735754
17,46198,0.8279900065811322,0.892701323366053,0.10517257358409884,0.8948274264159012
18,46255,0.8049485366903921,0.9637407934482534,0.09539124580397175,0.9046087541960283
19,46330,0.5094132297451592,1.0,0.060116105271813144,0.9398838947281869
20,46357,0.750316548602372,0.7528133831163483,0.1862707746598305,0.8137292253401696
21,46384,0.8565474121664453,0.8579819380447808,0.1222090024559078,0.8777909975440922
22,46450,0.8047321090010913,0.8703378820117708,0.1339829739854337,0.8660170260145663
23,46471,0.7360530619163795,0.9282230126273192,0.11009430884603237,0.8899056911539677
24,46486,0.7035639551665289,1.0,0.09418761367941225,0.9058123863205878
25,46489,0.6291869432249225,0.6328950737926733,0.23246082597852485,0.7675391740214752
26,46522,0.6493936146818822,1.0,0.1125765959336448,0.8874234040663552
27,46552,0.8749363276477667,0.9259703365652671,0.07136342044298806,0.928636579557012
28,46555,0.7602567897014292,0.9978306014635447,0.11235612806714534,0.8876438719328547
29,46573,0.7131799417432697,0.9460405972101058,0.09348433926778872,0.9065156607322112
30,46591,0.25522976655468066,0.9947860417246449,0.09982102829433188,0.9001789717056681
31,46633,0.5665246784813749,0.8376380222084112,0.15542686848879655,0.8445731315112035
32,46672,0.6071806476409481,1.0,0.08086977474598395,0.9191302252540161
33,46687,0.4871997851148123,0.9729555249670668,0.07541905541460384,0.9245809445853962
34,46702,0.6459280041363865,0.9354765425829761,0.07540036943548517,0.9245996305645148
35,46729,0.5184294257110252,0.9498561369669057,0.09406392567904424,0.9059360743209558
36,46750,0.7741479975980521,0.7764065176220716,0.17437591767938074,0.8256240823206192
37,46756,0.8565750386702825,0.8832579277532049,0.11490388192314523,0.8850961180768547
38,46792,0.6248067501642199,0.9414029767110377,0.07463768390116252,0.9253623160988375
39,46822,0.5340860124692839,1.0,0.08139686995922514,0.9186031300407749
40,46828,0.5068659228930948,0.9775414673457622,0.07876640281646342,0.9212335971835366
41,46912,0.7712776296593752,0.9914743355143615,0.08397137732008814,0.9160286226799119
42,46915,0.8220679332344087,0.9852019155926308,0.05953510922430596,0.9404648907756941
43,46927,0.4239726653557026,0.9159049300039369,0.09778752669732223,0.9022124733026777
44,47008,0.7781804730812926,0.9174739745442504,0.1008815331996022,0.8991184668003978
45,47182,0.4385620878068497,0.9827480636452827,0.09568614080360671,0.9043138591963933
46,47269,0.8166854619707803,0.8926786925649579,0.11266900098385019,0.8873309990161498
47,47284,0.4336002354725494,0.9940975853712835,0.08826005011044519,0.9117399498895549
48,47317,0.8563614307413042,0.9230385258694449,0.08794680882969598,0.912053191170304
49,47431,0.34557698319762786,0.9412865305392634,0.11759657947487138,0.8824034205251287
50,47470,0.46779076111753437,0.8897283760199931,0.1105901206608781,0.8894098793391219
51,47737,0.7501325615388765,0.9442996491159817,0.12537620728568505,0.874623792714315
52,47740,0.6517871417052292,0.8501357636583107,0.1691368009948294,0.8308631990051706
53,47743,0.6731210006450183,0.985622054789115,0.05001718115535237,0.9499828188446476
