,subject,alpha,beta,lbound,bound_range,LL,Confidence Distance,hbound
0,45628,1.0,11.609160233655356,4.605658262384727,0.22787392817538796,137.99792249744604,0.7744645275402872,4.695518463178628
1,45640,0.7121769138178381,16.82774273235837,4.462570691208178,0.07196014597837763,114.8605093923701,0.41884006297161824,4.501244182721896
2,45664,1.0,9.94677022927831,3.1482772799623304,0.0,164.28611034324504,1.5497301335381624,3.1482772799623304
3,45682,1.0,10.014853759271423,1.4889399130131888,0.8215535040522987,144.47523264268114,0.7284412935966893,4.3734636304153724
4,45745,1.0,9.672206732297553,4.092175854063759,0.9457584912842446,188.69221766825905,0.4377369028362839,4.950758248675826
5,45760,0.8713134050480068,20.041559728990503,1.0,0.9297454226956517,80.950285072926,0.551919443323851,4.718981690782607
6,45763,1.0,16.67460777546425,2.4981296428951283,0.881425304767964,59.64934461577041,0.9637438384313782,4.7033414848962245
7,45805,1.0,7.34209739015018,4.6818141558368875,0.8792613338485215,206.22045880635756,0.24597061082600227,4.961582665587463
8,45829,1.0,13.006699644042655,1.2945325927334195,0.8475618190386562,111.49105237308697,0.7437700776745172,4.435145288824735
9,45964,0.8661179065852974,12.04312938234349,1.579688949036312,0.8231719449882466,123.91629011399456,0.8239088605301146,4.395193049322885
10,46024,1.0,20.533367021452854,3.3823219170599192,0.794180971352293,63.31196992519931,0.3173044327740169,4.667051068304588
11,46057,0.6977591603340189,20.312663362316105,1.0,0.7375446236371413,83.4860212033812,1.24167466017134,3.9501784945485654
12,46072,0.9124748321033013,13.030785923142117,1.0234174068077833,0.7615633177330332,123.187732383141,0.8969796111082298,4.051836839718677
13,46102,1.0,4.621028175417513,2.032338212215387,1.0,239.02741343408786,1.1694311931410204,5.0
14,46114,1.0,12.775446588313448,3.135011987096887,0.636224592423215,102.37022506155995,0.3462273177347348,4.321563225480352
15,46159,1.0,20.049655101765733,1.4010759711922838,0.7931690033081784,57.20926823945367,0.5383424285932257,4.255630956103555
16,46180,0.9664672428069995,5.4783621057694525,2.426349197312181,1.0,219.81284069957397,1.370930576347598,5.0
17,46198,1.0,20.766750387421066,1.2682744841329927,0.8579841448976911,56.783572514800554,1.2922287047250063,4.470035809857043
18,46255,1.0,14.301281103363415,2.6955822641297895,0.2602421221229561,104.01846368293738,0.33244194847552455,3.295288825970431
19,46330,0.9783499347281074,19.62232025176784,2.780878457666198,0.6993424551917682,44.65447971657974,0.5338688028588592,4.332804365450862
20,46357,0.7591238653795839,8.717398105408831,4.586122395681127,0.0,185.4848399634476,0.5613177640163067,4.586122395681127
21,46384,1.0,18.00622827084184,3.309533952298477,0.3290508050762638,75.53253124726918,0.42121447599512285,3.865783166248753
