,subject,alpha,beta,lbound,bound_range,LL,Confidence Distance,hbound,agent_nr,noise
0,45628.0,1.0,6.856531440450162,4.264503605038602,1.0,151.25172445316318,0.738381857961592,5.0,0,0.0
1,45640.0,1.0,2.7536816430923126,4.360639330225537,1.0,195.1296043777524,0.8978837558615649,5.0,0,0.0
2,45664.0,0.8034200728211458,28.98654031249754,1.6791600223433811,0.8630560991398787,258.17577470193453,2.1090205142845604,4.545231219327465,0,0.0
3,45682.0,0.9101742094278733,47.66772245737279,1.8995457707151298,0.9122528684553104,375.35133010314917,1.4231852615315705,4.7279440348946515,0,0.0
4,45745.0,1.0,12.398467569268004,4.109486319182991,0.9803105029977697,192.05255792957985,0.9508548968705713,4.982466233551109,0,0.0
5,45760.0,0.7228312797108069,100.0,2.6838004618600846,0.8488546431732038,212.87723923732554,1.5469020523233996,4.649917194325782,0,0.0
6,45763.0,0.9012667930701542,9.039738695901328,1.675383001175323,0.9776630647424237,82.33404215818778,1.754110753980325,4.925738245341016,0,0.0
7,45805.0,0.5601376354883301,8.417611732528227,4.238812715025737,1.0,221.5322282007156,1.052000097677806,5.0,0,0.0
8,45829.0,1.0,16.86952740564778,2.5125241445520863,0.9625405102129428,115.80539846631834,1.168300897707723,4.906820423597297,0,0.0
9,45964.0,0.906629563332898,16.04605611116827,1.4440247378271465,0.9162956631926751,130.83728376696726,1.8307667465337476,4.702349448976568,0,0.0
10,46024.0,0.6066137905309175,46.554081399634,2.6118890123975125,0.9134487101503687,100.99591163199352,1.1887701327952285,4.793305913718928,0,0.0
11,46057.0,1.0,24.28980319847478,2.1761552541761895,0.9225046146096088,99.99373148845194,1.3622242291351234,4.781165063139753,0,0.0
12,46072.0,0.8831195635853245,28.572390253914865,1.8585687571630856,0.9587841414857852,167.3180376180324,1.094957441341477,4.8705232143631,0,0.0
13,46102.0,0.818657462142132,26.86388390702864,1.3668598204412064,0.9318320549140143,526.5304930247329,1.5863963945662771,4.752336299750148,0,0.0
14,46114.0,0.7850334476182976,17.427320908658476,1.4727784781847355,0.9512620202527573,109.57163670390796,1.4541157314521467,4.82809034890573,0,0.0
15,46159.0,1.0,12.396095760826219,3.005866056595674,0.9223509522361609,67.05064510710548,1.279040747894132,4.8451573981811045,0,0.0
16,46180.0,0.8585721308784757,19.089592054801404,1.380183408596057,0.9582714467859423,344.8120033731402,1.5407634377893253,4.848950290740471,0,0.0
