,n,p,lbound,scale,negll,conf_dist,subject,hbound
2,6.675999999999999,0.33666666666666667,3.148277274040363,0.0,223.36178537928856,1.5497301335381624,45664,3.148277274040363
3,6.675999999999999,0.33666666666666667,1.720712658640524,0.7539735077182308,148.6694692386325,0.7527729177574473,45682,4.193208438221319
4,80.002,0.7939999999999999,3.270278179354828,0.9179788848481989,93.3972900868519,0.3407004988950751,45745,4.858126287368279
5,6.675999999999999,0.2713333333333333,1.0,0.9091610622244899,64.41408012494705,0.7865586155889317,45760,4.63664424889796
6,0.01,0.01,1.6078880579169863,0.9611565933070957,75.5838359654183,0.7073888358296361,45763,4.868238816285812
7,86.66799999999999,0.7939999999999999,3.9845315563945296,0.9581554614703922,77.15491752478093,0.2031013941992521,45805,4.95750819158595
8,13.341999999999999,0.40199999999999997,1.1034207924701027,0.8216361555405283,103.72861553069188,0.7111466506248992,45829,4.304991152304126
9,6.675999999999999,0.40199999999999997,2.429462383299881,0.6916087466410885,150.1612063744895,1.0440565156947599,45964,4.207268682579621
10,6.675999999999999,0.2713333333333333,3.406717255523963,0.7970055525679727,67.89711677771403,0.3241846507429282,46024,4.676572449682103
11,0.01,0.01,1.0,0.7335920433338948,83.67172825554034,1.283801308809643,46057,3.9343681733355793
12,6.675999999999999,0.33666666666666667,1.5082768903632502,0.6810968392600248,137.49938455467955,1.0268471790470373,46072,3.8864784639080256
13,6.675999999999999,0.40199999999999997,2.6405355008471036,0.7598812097242174,340.02622311490006,1.1081923043172304,46102,4.433448238764751
14,6.675999999999999,0.40199999999999997,3.2236939271665745,0.6098564426707844,98.6600471762217,0.36055154738864936,46114,4.306985629839279
15,6.675999999999999,0.206,1.4293367242069295,0.7797267518701668,57.32998301985214,0.6135794924594413,46159,4.21347840226315
16,6.675999999999999,0.40199999999999997,2.8323796515261286,0.8122825112141843,284.94571297669864,1.3595950044604452,46180,4.59309975154345
17,6.675999999999999,0.206,2.491250497041521,0.7522968366077476,70.98902048468227,1.4963850412753361,46198,4.378574811958444
18,6.675999999999999,0.33666666666666667,2.7509049547423996,0.23340346349337676,95.42405481566055,0.3369171374953977,46255,3.2758515280313167
19,6.675999999999999,0.206,2.1103596020580397,0.777040899858301,32.44458467398293,0.5196202300801486,46330,4.35572837714176
20,6.675999999999999,0.40199999999999997,4.586122392352193,0.0,234.5305216044733,0.5613177640163068,46357,4.586122392352193
21,0.01,0.01,3.7655677885164427,0.03738385229692532,94.71142526696967,0.4336294151568882,46384,3.811715619981111
22,0.01,0.2713333333333333,2.6706845124450425,0.2309571098409982,78.75455904385302,1.5447739015207134,46450,3.208656485358611
23,93.334,0.8593333333333333,1.7389600557746958,0.7047627483828006,85.90666091008973,1.8623166797787132,46471,4.037219529453016
24,0.01,0.01,1.0,0.6045613365953022,100.09000432331874,0.7782752988172242,46486,3.418245346381209
25,6.675999999999999,0.33666666666666667,4.59996296462183,0.0,446.4191840716783,0.8516326483472851,46489,4.59996296462183
26,6.675999999999999,0.33666666666666667,1.376096298510741,0.5460221375280228,113.97024311600484,0.4911606823889858,46522,3.35482794379362
27,13.341999999999999,0.33666666666666667,1.3190108915230914,0.9789241671521779,41.40052365866275,0.5501282192406167,46552,4.9224200888350875
28,13.341999999999999,0.46733333333333327,1.7591463683506936,0.37112981835812503,93.6996988987427,0.6644797172596631,46555,2.9619237879899707
29,6.675999999999999,0.206,1.6291108539313848,0.781671145637138,45.92191816481511,0.5620977824948055,46573,4.264037634554633
30,6.675999999999999,0.33666666666666667,1.6642420211940172,0.8851105150016874,154.65769277177023,0.6309350847130171,46591,4.616756483735968
31,6.675999999999999,0.33666666666666667,4.1532356772925185,0.5029151658746851,224.30314553773064,0.6483805477859357,46633,4.579086297103717
32,6.675999999999999,0.14066666666666666,1.2645039661212523,0.7488309717670792,33.547179213583235,0.46017297062370444,46672,4.061759091202745
33,0.01,0.01,2.5362386368615915,0.8793085009921279,115.58179365035095,0.5775513729508325,46687,4.7026449478851475
34,13.341999999999999,0.40199999999999997,3.621170902209306,0.8837346396213476,86.8447270724093,0.3916530507891466,46702,4.839689938044793
35,6.675999999999999,0.33666666666666667,1.0,0.9508658658981841,86.00073552456836,0.6813284433570296,46729,4.8034634635927365
36,6.675999999999999,0.40199999999999997,2.4561808941869017,0.029310627128090298,191.37897548955505,1.4592030078077576,46750,2.5307418274787015
37,0.01,0.01,1.9347249808252527,0.26001105995498774,84.55544271178374,0.8677557038630468,46756,2.731730387614424
38,6.675999999999999,0.2713333333333333,1.0,1.0,62.745330582848766,0.49065491840238495,46792,5.0
39,0.01,0.01,1.1811993688650888,0.800778878505952,147.75950170884508,1.2307404763056373,46822,4.239214255503124
40,0.01,0.01,2.02273403259354,0.8600031191030361,76.35941052335073,0.6981012802464724,46828,4.583192050962413
41,6.675999999999999,0.206,1.616558025157604,0.5817957661295778,61.56975038286808,0.5352335717625174,46912,3.5850302410660078
42,6.675999999999999,0.206,1.565543751436355,0.6800889049733815,36.849019315942414,0.6468255342591968,46915,3.9012793407009925
43,6.675999999999999,0.33666666666666667,2.482028156574931,0.9832633437962042,68.9909918450484,0.45251519913806987,46927,4.957857570925757
44,13.341999999999999,0.40199999999999997,1.3492316145539187,0.8054898510386098,81.22614043866508,1.971515587097978,47008,4.289888497523349
45,6.675999999999999,0.33666666666666667,2.1310778469901943,0.835284565051477,72.02601864954576,0.34626865823823144,47182,4.527444239733537
46,0.01,0.01,2.485486547146488,0.5839382792641082,65.98015951626203,1.121321622566385,47269,3.953807205992219
47,6.675999999999999,0.2713333333333333,2.3213568216172495,0.8033347359814527,70.62406428201257,0.41849021495160643,47284,4.4732039321118755
48,6.675999999999999,0.206,3.4156969704920446,0.2385304161225275,55.41964476051976,0.16536150076315756,47317,3.793601431384758
49,6.675999999999999,0.33666666666666667,2.2182507729066514,0.8699152447403959,154.86897874500426,0.8191310838648339,47431,4.638136832599969
50,0.01,0.01,4.703829978212564,0.5021213085647207,68.57150489249779,0.05793191082060778,47470,4.8525432571101135
51,6.675999999999999,0.33666666666666667,1.8401164721732322,0.4341469727903929,117.6733784146835,1.5351016167647629,47737,3.211970340149451
52,6.675999999999999,0.33666666666666667,2.5975847141694883,0.4739559612306714,202.73664599678418,1.996148801363389,47740,3.736223760240547
