,noise_var,perf,metai,QSR,QSR_scaled,subject
0,0.0,0.8,0.5435644431995964,1.0,1.0,46057
1,0.13793103448275862,0.6675,0.5435644431995964,0.9988093158697285,0.9988093158697285,46057
2,0.27586206896551724,0.76,0.5435644431995964,0.9952159880679028,0.9952159880679028,46057
3,0.41379310344827586,0.7175,0.5435644431995964,0.9888826967103285,0.9888829312593558,46057
4,0.5517241379310345,0.6425,0.5435644431995964,0.9827595103534477,0.9827981790103568,46057
5,0.6896551724137931,0.765,0.5053735104731248,0.9683811782764117,0.9697580162638144,46057
6,0.8275862068965517,0.6775,0.5111133182212311,0.9600931114263602,0.9627855350852124,46057
7,0.9655172413793103,0.7675,0.4497860344045444,0.9461645061168273,0.9528884196138377,46057
8,1.103448275862069,0.69,0.40457923248502037,0.9279131541121513,0.9432991476357724,46057
9,1.2413793103448276,0.74,0.2982213354762146,0.9044193313459341,0.9317423329975318,46057
10,1.3793103448275863,0.835,0.27558230898753455,0.8856128485022448,0.9282824054492987,46057
11,1.5172413793103448,0.76,0.14520694583705307,0.8545080488257599,0.9121755075644231,46057
12,1.6551724137931034,0.7625,0.17516903418141305,0.8415460497356118,0.9134853882164127,46057
13,1.793103448275862,0.55,0.08954329674310413,0.8095515639439366,0.9040419353250264,46057
14,1.9310344827586206,0.655,0.07136302143742734,0.7707285348377562,0.8978469034090797,46057
15,2.0689655172413794,0.59,0.06835347147740689,0.7134670834881314,0.8956951363989183,46057
16,2.206896551724138,0.685,0.04526105410424941,0.7335410810932084,0.8950958097334394,46057
17,2.3448275862068964,0.6625,0.03569732511321899,0.6418045118441548,0.891119954651302,46057
18,2.4827586206896552,0.7925,0.03006749553810939,0.6152257630900824,0.8907432691720517,46057
19,2.6206896551724137,0.7775,0.025923547994257667,0.5894363964897046,0.890709696872296,46057
20,2.7586206896551726,0.575,0.014443462119399175,0.533626316657382,0.8906019328378258,46057
21,2.896551724137931,0.625,0.03575592841830699,0.49980572473123364,0.8905947613749616,46057
22,3.0344827586206895,0.49,0.02462478822363512,0.36943661421402463,0.8905753164984056,46057
23,3.1724137931034484,0.495,0.03734472520661425,0.34515227077390787,0.8905417114912066,46057
24,3.310344827586207,0.65,0.023966093600488514,0.4158278743044871,0.8905858326649763,46057
25,3.4482758620689653,0.485,0.02292593351094152,0.3296581904332133,0.8905703654825252,46057
26,3.586206896551724,0.7225,0.03316522013231826,0.24015841982864738,0.8905368921383939,46057
27,3.7241379310344827,0.5,0.026278608853343544,0.18560876673707516,0.8905357242481281,46057
28,3.862068965517241,0.505,0.03792241695564613,0.17636547072234787,0.8905183665777792,46057
29,4.0,0.45,0.061065448076609186,-0.05841351243483084,0.8904709999267171,46057
